Vernier Format 2
Sin título.cmbl 8/05/2025 11:49:01 .
Último
Tiempo	Posición	Velocidad 1	Aceleración 1	Angulo	Velocidad 2	Aceleración 2
t	x	v 1	a 1	Angulo	v 2	a 2
s	m	m/s	m/s²	rad	rad/s	rad/s²

3.75	0.3366545	-0.303173888889	1.29524845679	16.2315620435	4.73178152763	-2.06315155405
3.8	0.3225915	-0.2186625	1.66826095679	16.4759081388	4.47967841345	-4.97203364071
3.85	0.3143595	-0.122908333333	1.74840015432	16.6853476491	4.10152374219	-5.32217685485
3.9	0.310758	-0.0348716666667	1.6161757716	16.8773338668	3.86881317525	-3.95392491038
3.95	0.311444	0.0405883333333	1.41355169753	17.0693200845	3.7136727973	-2.55873887252
4	0.315217	0.1054725	1.21304490741	17.2438530097	3.65549515557	-1.99312291123
4.05	0.3222485	0.1620675	1.00957391975	17.4358392274	3.57792496659	-2.52641796045
4.1	0.3318525	0.207705555556	0.795145987654	17.6103721526	3.3646069469	-2.30555839461
4.15	0.343686	0.239528333333	0.628621604938	17.7674517853	3.24825166343	-0.285501389987
4.2	0.356034	0.265443888889	0.556475154321	17.924531418	3.33551812603	1.86383926293
4.25	0.3699255	0.294789444444	0.490257098765	18.0990643432	3.49065850399	3.03277891627
4.3	0.3857035	0.319180555556	0.329502314815	18.2735972684	3.66519142919	3.58762124021
4.35	0.402339	0.331947777778	0.0711936728395	18.4655834861	3.84942062801	3.99701945982
4.4	0.419489	0.32928	-0.255767901235	18.6575697038	4.05304237408	4.53031450904
4.45	0.4361245	0.306699166667	-0.590986882716	18.8670092141	4.3245380355	4.67037179469
4.5	0.4508735	0.266968333333	-0.868774537037	19.0939020168	4.53785605519	4.43335177281
4.55	0.46305	0.218281388889	-1.11268564815	19.3207948196	4.75117407487	4.26097357508
4.6	0.4731685	0.157208333333	-1.36654799383	19.5651409149	5.00327718905	3.26979893815
4.65	0.479514	0.0801286111111	-1.57266558642	19.8269403027	5.13902501976	1.22280784013
4.7	0.481572	-0.0060025	-1.6465058642	20.0887396905	5.09054365165	-0.263954115271
4.75	0.478828	-0.0907997222222	-1.57727067901	20.3330857857	5.06145483078	-0.791862345812
4.8	0.4721395	-0.167688888889	-1.41201666667	20.5948851735	5.02266973629	-1.33054421371
4.85	0.4615065	-0.2323825	-1.22140817901	20.8392312688	4.91601072645	-1.55140377955
4.9	0.448644	-0.289168055556	-1.0288941358	21.0835773641	4.85783308472	-1.54601696087
4.95	0.4323515	-0.337759722222	-0.785406481481	21.3279234594	4.75117407487	-1.28744966428
5	0.4141725	-0.370344722222	-0.486869444444	21.5548162621	4.71238898038	-0.576389598652
5.05	0.3946215	-0.386446666667	-0.166947839506	21.7991623574	4.69299643314	0.328595939416
5.1	0.3750705	-0.388638055556	0.213581018519	22.0260551602	4.68330015952	2.10085928481
5.15	0.3551765	-0.372155	0.742055092593	22.2529479629	4.92570700007	2.88194799326
5.2	0.336483	-0.321848333333	1.38798549383	22.5147473507	5.18750638787	-0.517134593182
5.25	0.3208765	-0.227428055556	1.88194783951	22.794000031	5.01297346267	-6.41570104668
5.3	0.312816	-0.112808888889	1.94583688272	23.0383461263	4.40210822447	-9.62624497936
5.35	0.310758	-0.0181027777778	1.68027654321	23.230332344	3.82033180714	-8.29031394697
5.4	0.3119585	0.0553563888889	1.36522469136	23.4048652692	3.51974732486	-5.29524276145
5.45	0.3167605	0.114809722222	1.11723780864	23.5793981944	3.33551812603	-2.71495661421
5.5	0.3239635	0.162448611111	0.97797345679	23.7364778271	3.23855538981	-0.0969627362202
5.55	0.333053	0.207991388889	0.936845216049	23.8935574598	3.33551812603	2.18166156499
5.6	0.3445435	0.256106666667	0.901751234568	24.068090385	3.50035477761	3.58223442153
5.65	0.358778	0.301363611111	0.803985648148	24.2426233102	3.70397652368	4.63266406394
5.7	0.3750705	0.339093611111	0.625339814815	24.4346095279	3.98516845872	5.18211956919
5.75	0.3929065	0.367676944444	0.333842746914	24.6440490382	4.22757529927	5.51071550861
5.8	0.4121145	0.383683611111	-0.170600154321	24.8534885484	4.53785605519	5.63999915691
5.85	0.433552	0.354052222222	-0.737291203704	25.0978346437	4.83844053747	4.80504226166
5.9	0.448644	0.297647777778	-1.08823101852	25.342180739	5.04206228354	3.4098562238
5.95	0.4628785	0.241243333333	-1.33865277778	25.6039801268	5.18750638787	1.73994243332
6	0.473683	0.165592777778	-1.5735125	25.8657795146	5.21659520874	0.0377077307525
6.05	0.4800285	0.0784136111111	-1.67826512346	26.1275789024	5.18750638787	-1.54601696087
6.1	0.481572	-0.0104805555556	-1.60416018519	26.3893782902	5.05175855716	-2.88733481194
6.15	0.478485	-0.0884177777778	-1.38576234568	26.6337243854	4.87722563196	-3.72229170719
6.2	0.471968	-0.149586111111	-1.14619166667	26.8780704807	4.6736038859	-4.21787902565
